,name,pincode,cuisine,dietaryRestrictions,dishes,features,latitude,longitude,mealType,numberOfReviews,rankingDenominator,rankingPosition,rating,rawRanking,cuisine_category
1767,Gustoes Beer & Boufage,560070,Indian Barbecue Asian Middle Eastern Bangladeshi Afghan Beer restaurants  ,   ,                       ,                            ,12.92373,77.57449,     ,1,5993.0,5284.0,3.0,3.0,Indian
1768,Lucknowiz,560034,Indian        ,   ,                       ,                            ,12.92669,77.63353,     ,10,5993.0,1134.0,4.0,3.096078396,Indian
1769,Blue Archies for Family,560058,Chinese Indian Seafood Asian Middle Eastern Afghan   ,   ,                       ,Takeout Reservations Outdoor Seating Private Dining Seating Parking Available Valet Parking Free off-street parking Television Serves Alcohol Wine and Beer Digital Payments Accepts Credit Cards Table Service Jazz Bar Dog Friendly Family style Sports bars           ,13.022369,77.51937,Lunch Dinner Drinks   ,1,5993.0,4022.0,4.0,3.013344526,Indian
1770,Gongura,560048,Indian        ,   ,                       ,                            ,12.99371,77.70238,     ,7,5993.0,2407.0,3.5,3.036952496,Indian
1771,Rolls on Wheels,560069,        ,   ,                       ,                            ,12.92292,77.59353,     ,5,5993.0,2279.0,4.0,3.039962053,Generic
1772,Iyer's Tiffin Centre,560050,        ,   ,                       ,                            ,12.9408,77.56483,     ,3,5993.0,3748.0,3.5,3.016550064,Generic
1773,Upsouth,,        ,   ,                       ,                            ,12.99278,77.57153,     ,7,5993.0,1678.0,4.0,3.058474779,Generic
1774,Aaha Bhojanam,560037,Chinese Indian       ,   ,                       ,Takeout Reservations Seating Parking Available Accepts Mastercard Accepts Visa Digital Payments Accepts Credit Cards                     ,12.965645,77.7185,Lunch Dinner Late Night   ,1,5993.0,2308.0,5.0,3.038905859,Indian
1775,Shankar Bhel House,560005,        ,   ,                       ,                            ,12.99441,77.6174,Breakfast Lunch Dinner   ,4,5993.0,3178.0,4.0,3.023228884,Generic
1776,Kapoor's Cafe,560100,Indian        ,   ,                       ,Takeout Seating Street Parking Valet Parking Digital Payments Accepts Credit Cards Table Service Family style                     ,12.97194,77.59369,Lunch Dinner    ,1,5993.0,2070.0,5.0,3.045153379,Indian
1777,Sukh Sagar,560095,Chinese Indian Fast Food      ,   ,                       ,                            ,12.97548,77.48421,Dinner     ,14,5993.0,1465.0,3.5,3.06947732,Indian
1778,Tiddly Tavern,560066,Chinese Indian Asian      ,   ,                       ,                            ,12.986976,77.736336,Lunch Dinner    ,1,5993.0,2390.0,5.0,3.037236214,Indian
1779,Tewari Bros Mithai Shoppe,560001,Chinese Indian       ,   ,                       ,                            ,12.9788,77.61545,     ,4,6520.0,1701.0,5.0,3.067067385,Indian
1780,Nandhini Restaurant Jayanagar,560066,        ,   ,                       ,                            ,12.98263,77.74337,Lunch Dinner    ,6,5993.0,1624.0,4.5,3.061523676,Generic
1781,W Xyz,560066,Bar International Pub      ,   ,                       ,Wheelchair Accessible Table Service                           ,12.97756,77.74321,     ,11,5993.0,1661.0,3.5,3.059337854,Pub
1782,Sukh Sagar,560043,        ,Vegetarian Friendly   ,                       ,                            ,13.02143,77.63703,Breakfast Lunch Brunch   ,13,6520.0,1740.0,4.0,3.065325499,Generic
1783,Uttara Karnataka Jolada Rotti Meals,560019,        ,   ,                       ,                            ,12.93776,77.56767,     ,3,5993.0,3576.0,3.5,3.018650055,Generic
1784,Curries & Pickles,560043,        ,   ,                       ,                            ,12.92304,77.59151,Lunch Dinner    ,6,5993.0,1739.0,4.5,3.056305408,Generic
1785,Krishnam Udupi Hotel,560062,Asian        ,   ,                       ,Delivery Takeout Private Dining Seating Street Parking Validated Parking Highchairs Available Accepts Mastercard Accepts Visa Digital Payments Cash Only Accepts Credit Cards Non-smoking restaurants                ,12.883739,77.54793,Breakfast Lunch Dinner Brunch  ,1,5993.0,3193.0,4.0,3.023025036,Asian
1786,Panda Boy,560084,Chinese        ,   ,                       ,                            ,13.01599,77.64125,Lunch Dinner    ,5,5993.0,1928.0,4.5,3.049504519,Chinese
1787,Banbay,560052,Cafe Asian       ,   ,                       ,                            ,12.99179,77.59422,     ,2,5993.0,2515.0,4.5,3.03406024,Asian
1788,The Elaichi Restaurant,560100,Indian        ,   ,                       ,Reservations                            ,12.85032,77.65553,     ,9,5993.0,1970.0,3.5,3.048174381,Indian
1789,Long Boat Brewing Co.,560037,Brew Pub Bar European Asian Pub Beer restaurants   ,   ,                       ,                            ,12.951854,77.70041,Lunch Dinner    ,1,76.0,53.0,5.0,3.043807268,Asian
1790,Kaifu,560054,Chinese        ,   ,                       ,                            ,13.03611,77.56676,     ,5,5993.0,1533.0,4.5,3.065588474,Chinese
1791,Adda - The Restaurant,560076,        ,   ,                       ,                            ,12.88835,77.61731,     ,6,5993.0,1990.0,4.0,3.047670603,Generic
1792,Aviator,562157,Seafood        ,   ,                       ,                            ,13.195652,77.63503,     ,2,5993.0,3247.0,4.5,3.022308111,Seafood
1793,Anand Sweets & Savouries,560005,Indian        ,   ,                       ,                            ,12.9964,77.61378,     ,4,5993.0,1501.0,4.5,3.067170382,Indian
1794,Adiga's,560003,        ,   ,                       ,                            ,12.99449,77.56864,Lunch Dinner    ,13,5993.0,1926.0,3.5,3.049577475,Generic
1795,Lazeez,560095,Indian Asian       ,Halal   ,Tandoori Chicken Roti                      ,Delivery Takeout Seating Table Service                         ,12.93629,77.61678,Lunch Dinner    ,41,5993.0,2846.0,3.5,3.027525902,Indian
1796,Fish & Fries,560102,Indian Seafood       ,   ,Fish                       ,                            ,12.9119,77.64823,Lunch Dinner    ,7,5993.0,2437.0,3.5,3.03614974,Indian
1797,Daivik Restaurant,560009,        ,   ,                       ,                            ,12.97961,77.57653,     ,2,5993.0,3108.0,4.0,3.02400732,Generic
1798,Cafe Mondo,560102,Italian Cafe       ,   ,Pasta Pesto                      ,Seating Table Service                           ,12.91518,77.65174,Brunch     ,12,5993.0,1443.0,4.0,3.070219517,Italian
1799,DimSum & More,560095,Chinese        ,   ,Dim Sum                       ,                            ,12.93327,77.61509,Lunch Dinner    ,6,5993.0,2463.0,4.0,3.035419464,Chinese
1800,Chung Wah,560043,Chinese Asian       ,   ,                       ,                            ,12.97897,77.75335,     ,5,5993.0,2287.0,4.0,3.039569378,Chinese
1801,IceBreakers HSR,560102,Cafe        ,   ,Ice Cream                       ,                            ,12.911219,77.635254,Lunch Dinner Late Night   ,3,5993.0,1708.0,4.5,3.05732131,Cafe
1802,Bhagathram Sweets Chats & Fast Foods,560017,Fast Food        ,   ,                       ,                            ,12.98185,77.6094,     ,12,5993.0,2807.0,3.5,3.028325796,Fast Food
1803,McDonald's,560025,Fast Food        ,   ,                       ,                            ,12.97465,77.60788,     ,8,6520.0,1647.0,4.0,3.070119858,Fast Food
1804,"Lock, Stock & Barrel Nagawara",560049,        ,   ,                       ,                            ,13.026,77.70702,     ,3,5993.0,2169.0,5.0,3.042791605,Generic
1805,WOW! Momo,560050,Asian Tibetan       ,   ,                       ,                            ,12.9674,77.61439,     ,6,5993.0,1510.0,4.0,3.066535473,Asian
1806,Banana Leaf,560071,        ,   ,                       ,                            ,12.95962,77.6414,     ,5,5993.0,2462.0,4.0,3.035445929,Generic
1807,Punjab Restaurant,560016,Indian        ,   ,                       ,                            ,12.99845,77.67317,     ,2,5993.0,1918.0,4.5,3.050121069,Indian
1808,Double Up,560045,        ,   ,                       ,                            ,13.027779,77.63245,     ,4,76.0,39.0,5.0,3.106454849,Generic
1809,Hotel Sangam Paradise,562117,Indian        ,   ,                       ,                            ,13.19405,77.63548,     ,4,5993.0,4655.0,3.5,3.009839296,Indian
1810,Raaga,560038,Indian        ,   ,                       ,Reservations                            ,12.97829,77.64057,Lunch Dinner    ,9,5993.0,2359.0,3.5,3.037781954,Indian
1811,Xtreme Sports Bar Marathahalli,560037,Italian Indian Barbecue Fusion     ,   ,                       ,                            ,12.95632,77.70683,     ,5,5993.0,1666.0,4.0,3.05921936,Indian
1812,Cafe 132,560034,Indian Cafe       ,Vegetarian Friendly   ,                       ,Seating Table Service                           ,12.93365,77.6242,Breakfast Lunch Dinner Brunch  ,15,5993.0,1731.0,3.5,3.056566,Indian
1813,Sizzlers Casa,,Japanese American       ,   ,                       ,                            ,12.98588,77.56054,     ,4,5993.0,1969.0,4.5,3.048202515,American
1814,Chaayos,560048,        ,   ,                       ,                            ,12.996406,77.696686,     ,7,5993.0,1610.0,4.0,3.062443733,Generic
1815,Tandooriwala,560038,Indian        ,   ,                       ,                            ,12.99298,77.66053,     ,9,5993.0,2568.0,3.5,3.033035278,Indian
1816,Nisarga Garden Restaurant,560001,        ,   ,                       ,                            ,12.98592,77.61071,     ,8,5993.0,1663.0,4.0,3.059291363,Generic
1817,Purani Dilli,560095,Indian Fast Food Asian      ,Vegetarian Friendly   ,                       ,Takeout Seating                           ,12.937152,77.61964,     ,17,5993.0,2691.0,3.5,3.030762911,Indian
1818,The Pizzeria,560043,Italian Pizza       ,   ,                       ,                            ,12.90731,77.63771,     ,9,5993.0,1445.0,4.0,3.070204496,Italian
1819,Prakriti Ahaara,560058,Italian Indian Mediterranean Asian     ,   ,                       ,Reservations Buffet Private Dining Seating Parking Available Accepts Credit Cards                       ,13.03582,77.51384,Lunch     ,3,5993.0,1529.0,4.5,3.065796852,Indian
1820,Up South Malleswaram Orion,560003,Fast Food        ,   ,                       ,Wheelchair Accessible                            ,13.011274,77.555016,Dinner     ,11,5993.0,1729.0,3.5,3.056585789,Fast Food
1822,Hype,560052,Bar Pub Fusion      ,Vegetarian Friendly   ,                       ,Reservations Seating Parking Available Validated Parking Wheelchair Accessible Serves Alcohol Full Bar Free Wifi Table Service                    ,12.992322,77.58828,Dinner     ,176,5993.0,57.0,5.0,4.530096054,Pub
1823,Shanmukha Restaurant,560070,Chinese Indian       ,Halal   ,                       ,Seating Table Service                           ,12.90666,77.59619,Lunch Dinner    ,13,5993.0,1216.0,4.0,3.087618828,Indian
1824,Hotel Ajantha Restaurant,,Indian Asian       ,   ,                       ,Seating Wheelchair Accessible Table Service                          ,12.97331,77.61537,Breakfast Lunch Dinner Brunch  ,14,5993.0,1298.0,3.5,3.081347942,Indian
1825,Via Milano,560087,Italian Pizza Mediterranean European     ,   ,                       ,                            ,12.900931,77.70724,     ,3,5993.0,3674.0,3.5,3.017588615,Italian
1826,Zatar House,560100,Indian Lebanese Pizza Mediterranean Middle Eastern Afghan   ,   ,                       ,                            ,12.84084,77.67175,     ,1,5993.0,3266.0,5.0,3.022074461,Indian
1827,Take 5,560038,Chinese Bar Pub      ,   ,                       ,Reservations Seating Serves Alcohol Table Service Live Music                        ,12.98276,77.64062,Lunch Dinner Late Night   ,37,5993.0,1154.0,3.5,3.094214439,Chinese
1828,Sports Bar,,Bar Pub       ,   ,                       ,Reservations Seating Wheelchair Accessible Table Service                         ,13.00602,77.57943,     ,14,5993.0,886.0,4.5,3.129208088,Pub
1829,Millers Forty Six,560052,Steakhouse        ,   ,                       ,                            ,12.98783,77.59128,     ,6,5993.0,1798.0,4.5,3.054213047,Steakhouse
1830,Punjabi Food Corner,560078,Indian        ,   ,                       ,                            ,12.89771,77.58258,     ,4,5993.0,2021.0,4.5,3.046552896,Indian
1831,Aloro,560100,Italian European       ,Vegetarian Friendly   ,Pasta Pesto                      ,Reservations Seating Serves Alcohol Table Service                         ,12.850106,77.660164,Lunch Dinner    ,24,5993.0,845.0,4.0,3.134942532,Italian
1832,Lady Baga,560001,Bar Cafe Pub      ,   ,                       ,Reservations Seating Table Service                          ,12.970769,77.59766,Lunch Dinner    ,15,5993.0,906.0,4.0,3.126621962,Pub
1833,Cantan,560001,Chinese Asian       ,   ,                       ,                            ,13.09044,77.58173,     ,5,5993.0,1068.0,5.0,3.104288816,Chinese
1834,blueFROG Bangalore,560001,Indian Bar European Pub South American    ,Vegetarian Friendly   ,                       ,Reservations Seating Serves Alcohol Table Service                         ,12.974535,77.60682,     ,28,5993.0,1155.0,3.5,3.094181538,Indian
1835,Ichak Dana,560008,        ,   ,                       ,                            ,12.94871,77.71302,     ,3,5993.0,1085.0,5.0,3.102396965,Generic
1836,Ta'aam,560051,Middle Eastern        ,   ,                       ,                            ,12.99009,77.59943,Lunch Dinner    ,5,5993.0,1398.0,5.0,3.073614359,Generic
1837,The Beer Cafe,560034,Italian American Bar Pizza Pub    ,   ,                       ,Reservations Seating Television Serves Alcohol Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Credit Cards Table Service                  ,13.017701,77.54361,Lunch Dinner    ,39,5993.0,1359.0,3.5,3.076517344,Italian
1838,New Chai Gully,560049,Indian Cafe       ,Vegetarian Friendly Vegan Options  ,Cakes                       ,Delivery Takeout Seating                          ,12.967451,77.71457,Breakfast     ,24,5993.0,854.0,4.0,3.133886337,Indian
1839,Cafe Garage,571606,Italian Chinese Indian Cafe Barbecue    ,   ,                       ,                            ,12.417791,76.678986,     ,9,5993.0,2324.0,3.5,3.038662672,Indian
1840,Nandini Paradise,560011,Indian Asian       ,Vegetarian Friendly Vegan Options  ,Thali                       ,Takeout Seating Table Service                          ,12.93077,77.58207,Lunch Dinner    ,25,5993.0,849.0,4.0,3.134589672,Indian
1841,Gongura's,560010,Indian        ,Vegetarian Friendly Halal  ,                       ,Seating                            ,12.90177,77.56091,Dinner     ,15,5993.0,2213.0,3.5,3.041511536,Indian
1842,Chung Wah,560038,Chinese Asian       ,   ,                       ,Delivery Takeout Seating Table Service                         ,12.95825,77.57537,Lunch Dinner    ,21,5993.0,1165.0,4.0,3.093157053,Chinese
1843,Flavours,560066,Chinese        ,   ,                       ,Reservations                            ,12.96662,77.718,     ,9,5993.0,1855.0,4.0,3.052456856,Chinese
1844,Chowman,,Chinese        ,   ,                       ,                            ,12.956853,77.715034,     ,2,5993.0,2239.0,4.0,3.041012287,Chinese
1845,Village Restaurant,562130,Indian        ,   ,                       ,                            ,12.95766,77.70882,     ,8,5993.0,5117.0,3.0,3.007244825,Indian
1846,Amulya,560009,Indian        ,   ,                       ,                            ,12.97669,77.57575,     ,9,5993.0,1521.0,4.0,3.066227198,Indian
1847,Five Spice Dining,,        ,   ,                       ,                            ,12.90626,77.59003,     ,5,5993.0,1704.0,4.0,3.057417631,Generic
1848,Kamat Hotel Restaurant,560048,        ,Vegetarian Friendly   ,                       ,Seating                            ,12.98965,77.70676,Lunch     ,12,5993.0,2106.0,3.5,3.04424262,Generic
1849,Chopstick World,560018,        ,   ,                       ,                            ,12.95957,77.56813,     ,5,5993.0,1592.0,4.5,3.062968731,Generic
1850,Red Tomato,560041,Italian Indian Pizza Fast Food Asian    ,   ,Salad                       ,                            ,12.918941,77.58363,     ,2,5993.0,2370.0,4.5,3.03753686,Indian
1851,Absolute Barbecues,560064,Italian Chinese Indian Barbecue Grill    ,   ,                       ,                            ,13.09768,77.59629,     ,2,5993.0,2051.0,5.0,3.045533657,Indian
1852,Gelato Italiano,560025,        ,   ,Ice Cream                       ,                            ,12.97097,77.60848,     ,7,5993.0,1459.0,4.0,3.069852591,Generic
1853,Biriyani Zone,560029,Indian        ,Vegetarian Friendly Halal  ,                       ,Delivery Takeout Reservations Seating Table Service                        ,12.952417,77.70022,Lunch Dinner    ,18,5993.0,834.0,4.0,3.1365273,Indian
1854,Slounge,560042,        ,   ,                       ,Reservations Seating Table Service                          ,12.98417,77.61422,     ,15,5993.0,791.0,4.5,3.145036221,Generic
1855,Chaayos,560038,        ,   ,                       ,                            ,12.97035,77.64067,     ,6,5993.0,2282.0,3.5,3.039851189,Generic
1856,Sarasa Japanese Kitchen,560060,Japanese        ,   ,                       ,                            ,12.92902,77.48614,     ,3,5993.0,1964.0,4.5,3.048346519,Japanese
1857,Santrupti,,        ,   ,                       ,                            ,12.91005,77.57699,     ,2,5993.0,2626.0,5.0,3.03196907,Generic
1858,Linoui,560048,Belgian European       ,   ,                       ,Delivery Takeout Seating Parking Available Validated Parking Wheelchair Accessible Accepts Mastercard Accepts Visa Accepts Credit Cards                    ,12.995621,77.69656,Lunch Dinner    ,8,5993.0,2827.0,4.0,3.027905464,European
1859,Le Grapes Restobar,560010,Indian Asian Contemporary Dining bars     ,   ,                       ,                            ,13.00092,77.54978,     ,1,5993.0,3821.0,4.0,3.01581049,Indian
1860,Health Zingo,,Chinese Asian Healthy      ,   ,                       ,Reservations                            ,12.9262,77.67168,Breakfast Lunch Dinner   ,13,5993.0,1402.0,4.0,3.073187351,Chinese
1861,Tibbs Frankie,560001,Fast Food        ,   ,                       ,                            ,12.981,77.60215,     ,10,5993.0,1070.0,4.5,3.104189634,Fast Food
1862,Kormangala Chutneys,560095,Chinese Indian       ,   ,                       ,                            ,12.93629,77.61502,Breakfast Lunch Dinner   ,2,5993.0,2874.0,5.0,3.026816845,Indian
1864,Mani's Dum Biryani,560095,        ,   ,                       ,                            ,12.93358,77.61575,Lunch Dinner    ,9,5993.0,1586.0,4.0,3.063137054,Generic
1865,Savoury Restaurant,560035,Indian        ,   ,                       ,                            ,12.98455,77.67617,     ,3,5993.0,2305.0,4.0,3.039126158,Indian
1866,Deewar,560040,Chinese        ,   ,                       ,Reservations Table Service                           ,12.95687,77.53086,Lunch Dinner    ,13,5993.0,1575.0,3.5,3.063596487,Chinese
1867,Diletto,560083,        ,   ,                       ,                            ,12.801555,77.578575,     ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,Generic
1868,South Thindies,,Indian Fast Food       ,Vegetarian Friendly Vegan Options  ,                       ,Takeout                            ,12.93686,77.57883,Breakfast Lunch Dinner   ,23,5993.0,812.0,4.0,3.139290333,Indian
1869,Grand Village,560004,        ,Vegetarian Friendly   ,                       ,Reservations Seating                           ,12.94566,77.57094,Dinner     ,13,5993.0,1919.0,3.5,3.050105572,Generic
1870,Faaso's,560068,Fast Food        ,   ,                       ,                            ,12.89758,77.61556,Lunch     ,13,5993.0,953.0,4.0,3.120340824,Fast Food
1871,Lassi Corner,560037,Indian        ,   ,                       ,                            ,13.021956,77.67161,     ,5,5993.0,1707.0,4.0,3.057360172,Indian
1872,Paris Panini - Gourmet Sandwiches & Wraps,560001,French Cafe European Street Food     ,   ,                       ,Delivery Takeout Seating Accepts American Express Accepts Mastercard Accepts Visa Accepts Credit Cards Family style                     ,12.97499,77.60478,Lunch Dinner    ,1,5993.0,2340.0,5.0,3.038263559,European
1873,Swadeshi Family Restaurant,560109,Indian Asian       ,   ,                       ,Takeout Reservations Outdoor Seating Private Dining Seating Parking Available Validated Parking Television Highchairs Available Serves Alcohol Full Bar Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Cash Only Accepts Credit Cards           ,12.846241,77.5204,Lunch Dinner Brunch Late Night Drinks ,1,5993.0,5284.0,3.0,3.0,Indian
1874,Chai Point,,Indian Cafe       ,Vegan Options   ,                       ,                            ,13.10541,77.56807,     ,41,5993.0,481.0,4.0,3.246203423,Indian
1875,Spice It,560068,        ,   ,                       ,Reservations                            ,12.900892,77.632416,     ,9,5993.0,1783.0,4.0,3.054751873,Generic
1876,Trivoli Garden,560001,Middle Eastern Afghan       ,   ,                       ,                            ,12.98238,77.5932,     ,5,5993.0,1656.0,4.0,3.059387207,Afghan
1877,Potteery Nine Cafe,560024,        ,   ,                       ,                            ,13.04516,77.60105,     ,3,5993.0,5878.0,2.5,2.865229607,Generic
1878,Bhagini,,        ,Vegetarian Friendly   ,                       ,                            ,12.99736,77.69069,     ,10,5993.0,3160.0,3.5,3.023379564,Generic
1879,Yoga House,,        ,Vegetarian Friendly Vegan Options  ,                       ,                            ,12.9809,77.63831,Breakfast Lunch Dinner   ,6,5993.0,3246.0,3.5,3.02231884,Generic
1880,Kakal Kai Ruchi,560062,Indian Asian       ,   ,                       ,Seating Table Service                           ,12.94454,77.57687,Breakfast Lunch Dinner   ,11,5993.0,3460.0,3.5,3.019940615,Indian
1881,Calcutta Victoria Chat House,560043,Indian        ,   ,                       ,                            ,13.01023,77.66194,     ,4,5993.0,2049.0,4.5,3.045609474,Indian
1882,Domino's Pizza,560052,Pizza Fast Food       ,   ,                       ,                            ,12.988176,77.59397,Dinner     ,12,5993.0,2119.0,3.5,3.044005156,Fast Food
1883,New Krishna Sagar Indiranagar,560043,Chinese Soups       ,   ,                       ,                            ,12.98232,77.64579,     ,4,5993.0,3275.0,4.0,3.021945238,Chinese
1884,Domino's Pizza,560066,Pizza        ,   ,                       ,                            ,12.96752,77.71595,     ,4,6520.0,2634.0,4.0,3.038042068,Pizza
1885,New Kadai,560084,Chinese        ,   ,                       ,                            ,13.01315,77.63565,     ,7,5993.0,1765.0,4.0,3.055426598,Chinese
1886,San Churro Cafe,560070,Mexican Pizza       ,   ,                       ,Reservations Seating Table Service                          ,12.92775,77.56212,Dinner     ,13,5993.0,5181.0,3.0,3.006335258,Mexican
1887,KFC,560043,        ,   ,                       ,                            ,13.06613,77.49317,Lunch Dinner    ,5,5993.0,1916.0,4.0,3.050155163,Generic
1888,Copper Chimney - Whitefield,560048,Indian Barbecue       ,   ,                       ,                            ,12.962484,77.588455,Dinner     ,2,5993.0,1442.0,5.0,3.070261955,Indian
1889,Kundapura Express,560008,        ,   ,                       ,                            ,12.86404,77.55435,     ,3,5993.0,2705.0,4.5,3.030361414,Generic
1890,Toscano Wine Connection,560066,Pizza        ,   ,                       ,                            ,12.98392,77.72893,     ,5,5993.0,3637.0,3.0,3.018033266,Pizza
1891,Bengalooru Tiffanys,560078,        ,   ,                       ,                            ,12.892069,77.57917,     ,9,5993.0,1493.0,4.0,3.067780972,Generic
1892,Olives N Peaches,560066,Italian Greek       ,   ,                       ,                            ,12.97622,77.74068,     ,2,5993.0,2782.0,4.5,3.028921604,Italian
1893,Krishna nanda gokula,560039,        ,   ,                       ,                            ,12.94682,77.53085,     ,1,5993.0,4873.0,4.0,3.008817434,Generic
1894,Cafe Coffee Day,560076,        ,   ,                       ,                            ,12.90866,77.60388,     ,2,5993.0,2617.0,4.5,3.032082081,Generic
1895,Bao & Grill,560048,Chinese Indian International Grill     ,   ,                       ,                            ,12.99608,77.71596,Lunch Dinner    ,5,5993.0,1963.0,4.0,3.048375845,Indian
1896,PRANA Organic Restaurant,560094,Healthy Southern-Italian       ,   ,                       ,                            ,13.02793,77.57155,     ,1,5993.0,4088.0,4.0,3.012774944,Italian
1897,Akshay Darshan Veg,560002,        ,   ,                       ,                            ,12.9644,77.57811,     ,2,5993.0,4945.0,3.5,3.008422852,Generic
1898,The Bar Stock Exchange,560001,American Indian       ,   ,                       ,Delivery Takeout Reservations Outdoor Seating Seating Wheelchair Accessible Serves Alcohol Wine and Beer Accepts American Express Accepts Mastercard Accepts Visa Digital Payments Free Wifi Accepts Discover Accepts Credit Cards Live Music Sports bars            ,12.97619,77.602104,Lunch Dinner Late Night Drinks  ,1,5993.0,3254.0,4.0,3.0222013,Indian
1899,Pabrai's Fresh & Naturelle Ice Creams,560025,        ,   ,                       ,Accepts Credit Cards                            ,12.967328,77.607666,     ,4,5993.0,1828.0,5.0,3.053236246,Generic
1900,KFC,560098,American        ,   ,                       ,                            ,12.94849,77.52231,     ,7,5993.0,1847.0,4.0,3.05277276,American
1901,Middle East Restaurant,560043,Chinese Indian Arabic      ,   ,                       ,                            ,13.022282,77.638054,     ,1,5993.0,3835.0,4.0,3.015608072,Indian
1902,Rang De Basanthi,560034,Chinese Indian       ,   ,                       ,                            ,12.95712,77.51429,     ,12,5993.0,1463.0,4.0,3.069654226,Indian
1903,Sri Venkateshwara Sweetmeat Stall,560019,        ,   ,                       ,                            ,12.94498,77.57106,     ,3,5993.0,2594.0,4.0,3.032485247,Generic
1904,The Parisian Cafe By Breadworks,560043,French        ,   ,                       ,                            ,13.06905,77.50059,     ,1,5993.0,2853.0,5.0,3.027343035,French
1905,SLV Swadishta,560070,Indian Asian       ,   ,                       ,Seating Table Service                           ,12.97087,77.65399,Dinner     ,12,5993.0,2283.0,3.5,3.039795876,Indian
1906,Refresh,560066,Fast Food        ,   ,                       ,                            ,12.97329,77.75038,     ,9,6520.0,3047.0,3.5,3.029716253,Fast Food
1907,Curries and Pickles,560068,Chinese        ,   ,                       ,                            ,12.97224,77.67994,     ,8,6520.0,2216.0,3.5,3.048223257,Chinese
1908,Bisi Bisi Thindi,560072,        ,   ,                       ,                            ,12.96543,77.50398,Breakfast Lunch Dinner   ,1,5993.0,4175.0,4.0,3.012283802,Generic
1910,Bhimas Garden Restaurant,560020,Cafe        ,   ,                       ,                            ,12.993708,77.57698,     ,5,5993.0,1792.0,4.0,3.054478168,Cafe
1911,Shuddh Desi Khana,560076,Indian        ,   ,                       ,                            ,12.88919,77.60229,Breakfast Lunch Dinner   ,6,5993.0,2436.0,4.0,3.03619194,Indian
1912,Three Street,560061,Asian        ,   ,                       ,Delivery Outdoor Seating Seating Street Parking Serves Alcohol Full Bar Digital Payments Accepts Credit Cards Sports bars                    ,12.887064,77.54331,Lunch Dinner Brunch Late Night Drinks ,1,76.0,63.0,4.0,3.023025036,Asian
1913,Beijing Bites,560093,Chinese        ,   ,                       ,                            ,12.98466,77.67535,Dinner     ,9,5993.0,3580.0,3.5,3.018612862,Chinese
1914,SLV Delite,560009,Indian        ,   ,                       ,                            ,12.97522,77.53438,     ,8,5993.0,1596.0,4.0,3.062832117,Indian
1915,Urban Food Market,560300,European        ,   ,                       ,                            ,13.19813,77.68569,Breakfast Lunch Dinner   ,9,5993.0,5947.0,2.5,2.768880129,European
1916,Banjara,560001,        ,   ,                       ,Reservations                            ,12.98409,77.58632,Lunch Dinner    ,7,5993.0,5215.0,3.0,3.004333258,Generic
1917,The Beer Restaurant,560008,Cafe        ,   ,                       ,                            ,12.9703,77.64132,     ,3,5993.0,5669.0,3.0,2.988435745,Cafe
1918,Princess,560078,Indian        ,   ,                       ,Reservations                            ,12.91693,77.59019,Lunch     ,8,5993.0,1736.0,4.5,3.056410789,Indian
1919,Adyar Ananda Bhavan Sweets,,Indian        ,   ,                       ,                            ,12.98039,77.57695,     ,3,5993.0,2333.0,4.5,3.038421631,Indian
1920,Pecos,560001,Pub Gastropub       ,   ,                       ,                            ,12.973445,77.60738,     ,4,5993.0,1884.0,4.5,3.051346064,Pub
1921,Malgudi Southern Cuisine,560071,        ,   ,                       ,                            ,12.95973,77.64608,Dinner     ,10,5993.0,3475.0,3.5,3.019704819,Generic
1922,Hongkong Noodles,560075,Chinese Thai       ,   ,                       ,Reservations                            ,13.01844,77.67235,Dinner     ,10,6520.0,2034.0,4.0,3.054270029,Chinese
1923,Snow Lion - Flavors Of Tibet,560001,Chinese Asian Tibetan      ,   ,Beef                       ,                            ,12.98788,77.61106,Lunch Dinner    ,5,5993.0,2001.0,4.0,3.047326326,Chinese
1924,Domino's Pizza,560034,Pizza        ,   ,                       ,                            ,12.93846,77.63104,     ,6,5993.0,1848.0,4.0,3.052694559,Pizza
1925,Shake It Off,560037,        ,   ,                       ,                            ,12.921867,77.58955,Breakfast Lunch Dinner Brunch Late Night Drinks,3,5993.0,2267.0,4.5,3.040284157,Generic
1926,Raenss Cafe,560038,American        ,   ,                       ,                            ,12.9832,77.6406,     ,4,5993.0,1911.0,5.0,3.050266504,American
1927,Subway,560011,Fast Food        ,   ,                       ,                            ,12.93253,77.58598,     ,3,5993.0,2358.0,4.5,3.037807226,Fast Food
1928,Karavali Beach,560020,Chinese Seafood       ,   ,                       ,                            ,12.98954,77.57315,     ,6,5993.0,3871.0,3.5,3.015174627,Chinese
1929,R K Garden Family Restaurant,560029,Indian        ,   ,                       ,                            ,12.79216,77.72835,     ,1,5993.0,4984.0,4.0,3.008282185,Indian
1930,Nando's Mall of Asia,560092,African European Grill Healthy Portuguese    ,   ,                       ,Delivery Takeout Seating Parking Available Digital Payments Free Wifi                       ,13.070695,77.591,Lunch Dinner Drinks   ,0,5936.01077752117,2890.0163587374905,3.9422372227579556,3.094143276698807,European
